ministry,parent_org,code,name,address,pincode,officer_designation,org_level
Ministry of Railways ( Railway Board),Commercial Department - NC Railway,TMCNB,DY.CTM kanpur,Area Manager Office  Kanpur Central,,Dy CTM,4.0
Ministry of Railways ( Railway Board),Central Railway,TIBSL,Zonal Railway Training Institute Bhusawal,"Office of the, Principal Zonal Railway Training Institute, Bhusawal",425201.0,Principal ZRTI Bhusawal,3.0
Ministry of Railways ( Railway Board),Chief Signal & Telecom Engineer.,SRUBL,Sr. DSTEUBL,"Office of Sr.DSTE/UBL, DRM Office Compound",580020.0,Sr.DSTEUBL,4.0
Ministry of Railways ( Railway Board),Chief Signal & Telecom Engineer.,SRSBC,Sr.DSTESBC,"Office of Sr.DSTE/SBC, DRM Office Compound",560023.0,Sr.DSTESBC,4.0
Ministry of Railways ( Railway Board),WR Accounts,STACT,WR PFA Stores,"7th FLOOR PFA OFFICE, CHURCHGTE STATION BULDING CHUECHGATE, MUMBAI",400020.0,AFA,4.0
Ministry of Railways ( Railway Board),Accounts,SRAFG,Accounts,"FACAO/SWR/UBL  RAIL SOUDHA  2ND FLOOR , GADAG RAOD  HUBLI-20,  ",580020.0,Sr. AFA.G,4.0
Ministry of Railways ( Railway Board),NF Railway Construction Organisation,SRLAW,NF RAILWAY CONSTRUCTION,"Sr LO CON, MALIGAON,  ",781011.0,SR LO CON,4.0
Ministry of Railways ( Railway Board),Sr. Divisional Security Commissioner RPF Howrah,SRESV,Reserve Coy Howrah,"ASC Office/HQrs/Liluah, PO PS-Liluah, PS-Belur  Dist-Howrah",711204.0,IPF,5.0
Ministry of Railways ( Railway Board),CSTE department,SRDST,Sr. DSTE,"DRM office Allahabad, Nawab Yousuf Road,  ",211001.0,ADSTE SFG,4.0
Ministry of Railways ( Railway Board),MECHANICAL BRANCH,SRCDO,SR CDO LKO,"SICKLINE  CB  LUCKNOW,  ,  ",,SRCDOCWLKO,5.0
Ministry of Railways ( Railway Board),CSC RPF SOUTH WESTERN RAILWAY,SRDSC,RAILWAY PROTECTION FORCE,"Office of the Sr.Divn. Sec.Commissioner/RPF, South Western Railway DRMs Office Compound , Bangalore",560023.0,DSC RPF Bangalore,4.0
Ministry of Railways ( Railway Board),ASANSOL DIVISION,SRDMA,Stores,"Divisional Railway Managers Office , Asansol,  ",713301.0,Sr.D.M.M Asansol.,4.0
Ministry of Railways ( Railway Board),WR Mumbai Central,SRDME,MMCT Mechanical,"DIVISIONAL RAILWAY MANAGER OFFICE, MUMBAI CENTRAL,  ",400008.0,Sr. DME,4.0
Ministry of Railways ( Railway Board),ASANSOL DIVISION,SRDPO,Sr.DPO Asansol Division,"Divisional Railway Managers Office , Asansol,  ",713301.0,Divisional Personnel Officer,4.0
Ministry of Railways ( Railway Board),DRM / Danapur,SRDC1,Comml.Danapur,"DRM Office, Danapur",801105.0,Sr.DCM,
Ministry of Railways ( Railway Board),NorthenRailway Delhi Division,SRDCM,Commercial Department Delhi,"Divisional Railway Manager Office, Northern Railway State Entry Road, New Delhi",110055.0,Sr. DCM C,4.0
Ministry of Railways ( Railway Board),Nagpur Division,SRDET,Sr.DEE TRO,"ELECTRIC DEPT. (TRO), DRM OFFICE CENTRAL RAILWAY, NAGPUR.",440001.0,Sr.DEE TRO,4.0
Ministry of Railways ( Railway Board),Nagpur Division,SRDFM,Sr. Divisional Finance Manger Office,"SR.Divisional Finance Manager, DRMs Office  Central Railway, Nagpur",440001.0,Sr.DFM Nagpur,4.0
Ministry of Railways ( Railway Board),Nagpur Division,SRDEG,SR.DEE G NGP,Sr.DEE G /NGP DRM OFFICE CENTRAL RAILWAY NAGPUR,440001.0,Sr.DEE G NGP,4.0
Ministry of Railways ( Railway Board),DRM / Dhanbad,SRDEN,Engineering,"DRM Office, Dhanbad,  ",826001.0,Sr.DEN.Cord,4.0
Ministry of Railways ( Railway Board),DRM / Danapur,SRDO1,Optg Danapur,"DRM Office, Danapur",801105.0,Sr.DOM,
Ministry of Railways ( Railway Board),WR Mumbai Central,SRDOM,MMCT Operating,"DRM BLDG MUMBAI CENTRAL,  ,  ",400008.0,Sr. DOM,4.0
Ministry of Railways ( Railway Board),Ministry of Railways ( Railway Board),SWRLY,SOUTH WESTERN RAILWAY,"General Mangers Office  South Western Railway  Gad, ag Road  Hubballi",580020.0,Additional General Manager,2.0
Ministry of Railways ( Railway Board),STORES,SWKTT,Workshop Kota,"Dy. CMM Office , Workshop Kota,  ",,Dy. CMM,4.0
Ministry of Railways ( Railway Board),STORES,SWBPL,CRWS Bhopal,"Dy. CMM office , CRWS Bhopal,  ",,Dy CMM CRWS BPL,4.0
Ministry of Railways ( Railway Board),Chief Commercial Manager.,SW123,Shri,"Office of Divisional Railway Manager, South Western Railway, Bengaluru",580001.0,Sr.DCMSBC,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURMD,Medical,"Chief Medical Superintendent Office, Near Ganesh Hall, Solapur",413001.0,CMS,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURME,Mechanical,"Divisional Railway Manager Office Branch  Railway , Line Station Road  Solapur",413001.0,Sr.DME,4.0
Ministry of Railways ( Railway Board),Solapur Division,SUREL,Electrical,"Divisional Railway Manager Office Electrical Branc, h  Railway Lines Station Road  Solapur",413001.0,Sr. DEE,4.0
Ministry of Railways ( Railway Board),Solapur Division,SUREN,Engineering,"Divisional Railway Manager Office, Branch  Railway Line, Station Road  Solapur",413001.0,Sr.DEN CO,4.0
Ministry of Railways ( Railway Board),Solapur Division,SUROP,Operating,"Divisional Railway Manager Office, Operating Branch  Railway Line, Station Road  Solapur",413001.0,Sr.DOM,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURPE,PERSONNEL,"Divisional Railway Manager Office , Personnel Branch  Station Road , Railway Lines  Solapur",413001.0,DPO Co,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURSA,Safety,"Divisional Railway Manager Office, safety Branch  Railway Lines, Station Road  Solapur",413001.0,SrDSO,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURSE,Secutity,"Divisional Railway Manager Office, Security Branch  Railway Lines, Station Road  Solapur",413001.0,DSC,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURSI,Signal and Telecommunication Branch,"Divisional Railway Manager Office, Signal and Telecommunication Branch , Railway Lines Station Road  Solapur",413001.0,Sr.DSTE,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURST,Stores,"Divisional Railway Manager Office, Store Branch  Railway Lines, Station Road  Solapur",413001.0,DMM,4.0
Ministry of Railways ( Railway Board),Solapur Division,SURAC,Accounts,"Divisional Railway Manage Office, Account Branch  Railway Line, Station Road  Solapur",413001.0,Sr.DFM,4.0
Ministry of Railways ( Railway Board),Personnel Branch,STWPB,ST Workshop Podanur,"Personnel Branch ST Workshop, Southern Railway, Podanur",621023.0,Workshop Personnel Officer,4.0
Ministry of Railways ( Railway Board),WR Personnel,STSBI,Stores Sabarmati,"Sabarmati,  ,  ",,APO SBI,4.0
Ministry of Railways ( Railway Board),WR Personnel,STRMX,Stores Mahalaxmi,"Mahalaxmi - Stores, Shakti MIlls lane  Dr. E. Moses Road, Mahalaxmi",400011.0,APO S MX Stores,4.0
Ministry of Railways ( Railway Board),DIESEL LOCOMIOTIVE WORKSHOP,STDLW,STORES DLW,"ADMIN BUILDING, GMP, DLW",221004.0,CMM HQ,3.0
Ministry of Railways ( Railway Board),WR Personnel,STDHD,Stores Dahod,"Dahod,  ,  ",,APO DHD,4.0
Ministry of Railways ( Railway Board),FACAO,STLWS,WAOSTLI,"WHEEL SPRING KARKHANA , SITHAULI , GWALIOR",474006.0,WAOSTLI,4.0
Ministry of Railways ( Railway Board),LUMDING DIVISION  NFRly,STMLG,Maligaon SnT department,"NF Railwaay HQ Maligaon,  ,  ",781011.0,Sr. DSTE MLG,4.0
Ministry of Railways ( Railway Board),Sr. Divisional Security Commissioner RPF Howrah,STKPR,RPF CE Post TKPR Howrah,"Coaching Complex  Tikiapara, PS-Bantra, Dist.Howrah",700111.0,IPF,5.0
Ministry of Railways ( Railway Board),Personnel  NFRly,STONF,Stores Personnel NFR HQ,"Office of the GM(P)  Stores Section, Maligaon, Guwahati",781011.0,Asstt. Personnel Officer,4.0
Ministry of Railways ( Railway Board),ASANSOL DIVISION,STRDA,Senior Divl. Electrical Engineer Traction Distribution,"Divisional Railway Manager s Office, Eastern Railway, Asansol",713301.0,SrDEE TRD,4.0
Ministry of Railways ( Railway Board),WEST CENTRAL RAILWAY,STORS,Stores,"GMs office  Indira Market, Jabalpur,  ",482001.0,Comptroller of Stores,3.0
Ministry of Railways ( Railway Board),Sr. Divisional Security Commissioner RPF Howrah,SKWAE,RPF Post Katwa,"PF No.1  Katwa Railway Station, PO  PS - Katwa, Dist.-Purba Bardhaman",713130.0,IPF,5.0
Ministry of Railways ( Railway Board),STORES,SMEET,ELS Itarasi,"SMM ELS Office , Itarasi,  ",,SMM ELS ET,4.0
Ministry of Railways ( Railway Board),STORES,SMDET,Diesel ET,"SMM Diesel Office , Itarasi,  ",,SMM D ET,4.0
Ministry of Railways ( Railway Board),Research Design and Standard Organisation,SNKET,Signal Directorate,"Executive Director/Signal , RDSO  Manak Nagar , Lucknow",226011.0,ED Signal,3.0
Ministry of Railways ( Railway Board),Sr. Divisional Security Commissioner RPF Howrah,SNDAE,RPF Post Nabadwipdham,"Near Nabadwipdham Railway Station, PO  PS - Nabadwipdham, Dist-Nadia",741302.0,IPF,5.0
Ministry of Railways ( Railway Board),Ministry of Railways ( Railway Board),SORLY,Southern Railway,"Public Grievances Cell  General Managers Office, Southern Railway  Park Town , Chennai.",600003.0,Additional General Manager,2.0
Ministry of Railways ( Railway Board),Dy.CPO HQ W,SPOTC,SPO T,"Senior Personnel Officer Traffic, South Western Railway  Rail Soudha , Gadag Road  Hubballi",570020.0,Senior Personnel Officer Tfc,5.0
Ministry of Railways ( Railway Board),Personnel Branch,SPOPE,SPO STORES PER,"Ayyanavaram, Chennai,  ",600023.0,SPO STORES,4.0
Ministry of Railways ( Railway Board),Southern Railway,SPOPR,SPO STORES PER,"Ayyanavaram, Chennai",600023.0,SPO STORES,3.0
Ministry of Railways ( Railway Board),Director General Railway Police Force,SPLBR,SPLRB,"Room No 438 Railway Board , New Delhi,  ",110001.0,DIG P &amp; TS,3.0
Ministry of Railways ( Railway Board),DRM / Samastipur,SPJCO,Commercial,"DRM OFFICE, Samastipur",848101.0,Sr. DCM,
Ministry of Railways ( Railway Board),STORE DEPARTMENT,SPJDP,Dy. CMM Depot Samastipur,"East Central Railway, Samastipur,  ",,Dy. CMM,4.0
Ministry of Railways ( Railway Board),East Central Railway,SPJEC,DRM / Samastipur,"Additional Divisional Railway Manager, East Central Railway, Samastipur",848101.0,Addl. Divisional Rly. Manager,3.0
Ministry of Railways ( Railway Board),Sr. Divisional Security Commissioner RPF Howrah,SHGYD,RPF Post Howrah Goods Yard,"I.C.Bose Road  Tandel Bagan, PS-Golabari, Dist.-Howrah",711101.0,IPF,5.0
Ministry of Railways ( Railway Board),WEST CENTRAL RAILWAY,SGTEL,Signal and Telecommunication,"GMs office  Indira Market  Jabalpur  WCR,  ,  ",482001.0,CSTE,3.0
Ministry of Railways ( Railway Board),Railway Recruitment Board,SGURB,Siliguri Railway recruitment board,"Railway Recruitment Board Siliguri D B C Road  P O,    siliguri town Siliguri W B",734004.0,Chairman,3.0
Ministry of Railways ( Railway Board),East Central Railway,SIGEC,CSTE,"E. C. Railway HQ Zonal Office  Dighi Hajipur Vaish, ali",844101.0,PCSTE,3.0
Ministry of Railways ( Railway Board),ADRM Khurda Road Division,SITKU,SIG. AND TELECOM,"Sig. and Telecom Dept.  Khurda Road , East Coast Railway, AT/PO - Jatni  Dist. - Khorda",752050.0,Sr. DSTE,
Ministry of Railways ( Railway Board),APOWEL,SETTL,SETTLEMENT,"Sr. DPO Office , Jabalpur,  ",482001.0,Chief OS,6.0
Ministry of Railways ( Railway Board),Divl. Personnel Office,SETT1,DRM PERSONNEL,"DRM office , Nawab Yusuf Road , Allahabad",211012.0,Chief Office Supdt.,6.0
Ministry of Railways ( Railway Board),Divl. Personnel Office,SETT2,DRM PERSONNEL,"DRM office , Nawab Ysuf Raod , Allahabad",211012.0,Chief Welfare Inspector,6.0
Ministry of Railways ( Railway Board),STORES,SETKD,ELS TKD,"SMM ELS Office , Tugalkabad,  ",,SMM ELS TKD,4.0
Ministry of Railways ( Railway Board),STORES,SENKJ,ELS NKJ,"SMM ELS office , New Katni Junction,  ",,SMM ELS,4.0
Ministry of Railways ( Railway Board),Ministry of Railways ( Railway Board),SERLY,SOUTH EASTERN RAILWAY,"South Eastern Railway, 11  Garden Reach Road , Kolkata  west Bengal",700043.0,ASSISTANT SECRETARY PG,2.0
Ministry of Railways ( Railway Board),Electrical Department,SEERS,Rail Spring Karkhana Sithouli,"Rail Spring Karkhana Sithouli, Sithouli, Gwalior",475001.0,SEE RSK STLI,4.0
Ministry of Railways ( Railway Board),East Central Railway,SEEEC,DRM / Sonpur,"Additional Divisional Railway Manager, East Central Railway, Sonpur",841101.0,Addl. Divisional Rly. Manager,3.0
Ministry of Railways ( Railway Board),WEST CENTRAL RAILWAY,SECUT,security,"Office of the Cheif Security Commissioner , West Central Railway  Jabalpur,  ",482001.0,Dy. CSC,3.0
Ministry of Railways ( Railway Board),WEST CENTRAL RAILWAY,SECY1,SECRETARIAT,"GM SECRETARIAT  GM OFFICE, WEST CENTRAL, JABALPUR",482001.0,Secy. to GM,3.0
Ministry of Railways ( Railway Board),DIESEL LOCOMIOTIVE WORKSHOP,SEDLW,SECURITY DLW,"ADMIN BUILDING, GMP, DLW",221004.0,SR SEC COMM RPF,3.0
Ministry of Railways ( Railway Board),DRM / Dhanbad,SEDPO,Personnel,"DRM Office, Dhanbad,  ",826001.0,Sr.DPO,4.0
Ministry of Railways ( Railway Board),Mechanical  Directorate,WAGON,EDME Fr,"Room No 308, Rail Bhavan Raisina Road, New Delhi",110001.0,Executive Director ME Freight,3.0
Ministry of Railways ( Railway Board),FACAO ER,WAOJM,Workshop Accounts Office ER Jamalpur,"Locomotive Workshop Eastern Railway, Accounts Office  Combined Building , Jamalpur  Munger",811214.0,Dy.Chief Accounts Officer W,4.0
Ministry of Railways ( Railway Board),FACAO ER,WAOKP,Workshop Accounts Office ER Kanchrapara,"Kanchrapara Workshop, North 24 Parganas,  ",743145.0,Workshop Accounts Officer IC,4.0
Ministry of Railways ( Railway Board),FACAO ER,WAOLH,Workshop Accounts Office ER Liluah,"C and W Workshop  Eastern Railway  Liluah, PO-Liluah  Dist.-Howrah,  ",711204.0,Workshop Accounts Officer IC,4.0
Ministry of Railways ( Railway Board),Central Railway,WAOPR,Workshop Account Office Parel,"Workshop Accounts Office  Central Railway , CWM Office Building  First Floor  Parel , Mumbai",400012.0,AWAO I,3.0
Ministry of Railways ( Railway Board),Ministry of Railways ( Railway Board),WCRLY,WEST CENTRAL RAILWAY,"Office of General Manager West Central Railway Jab, alpur",482001.0,Additional General Manager,2.0
Ministry of Railways ( Railway Board),Research Design and Standard Organisation,VITT1,Finance And Accounts Directorate,"Pr. Executive Director/Finance , RDSO  Manak Nagar , Lucknow",226011.0,Pr. ED Finance,3.0
Ministry of Railways ( Railway Board),South Central Railway,WLGDS,CHIEF WORKSHOP MANAGER LALAGUDA,"S.LALAGUDA, SOUTH CENTRAL RAILWAY,  ",500017.0,CHIEF WORKSHOP MANAGER,3.0
Ministry of Railways ( Railway Board),South East Central Railway,WMNGP,CWM Motibagh,"Office of the Chief Works Manager, Motibagh, Nagpur",440004.0,Asstt Personnel Officer,3.0
Ministry of Railways ( Railway Board),Central Railway,WMKWV,Kurduwadi Workshop,"Carriage and Wagon Workshop  Barshi Road  Kurduwad, i  Taluka-Mhadha  Dist-Solapur",413208.0,Dy  CME  Kurduwadi,3.0
Ministry of Railways ( Railway Board),Personnel  NFRly,WELNF,Welfare Personnel NFR HQ,"Office Of The PCPO  N.F.Railway, Maligaon  Guwahati",781011.0,Assistant Personnel officer,4.0
Ministry of Railways ( Railway Board),Divl. Personnel Office,WIRTI,Personnel Office DRM office,"DRM office  Personnel, Nawab Yusuf Road , Allahabad",211012.0,CSWI RTI,6.0
Ministry of Railways ( Railway Board),Chief Personnel Officer,WPOJM,Workshop Personnel Officer Jamalpur,"Personnel Department Chief Workshop Manager Office,  Jamalpur  E.Rly",,Workshop Personnel Officer,4.0
Ministry of Railways ( Railway Board),Chief Personnel Officer,WPOKP,Workshop Personnel Officer Kanchrapara Workshop,"Personnel Department, Chief Workshop Manager Office, Kanchrapara  E.Rly",743145.0,Workshop Personnel Officer,4.0
Ministry of Railways ( Railway Board),Chief Personnel Officer,WPOLH,Workshop Personnel Officer Liluah,"Personnel Department, Chief Workshop Manager Office, Liluah  E.Rly",711204.0,Workshop Personnel Officer,4.0
Ministry of Railways ( Railway Board),Chief Personnel Officer,WPOMY,Work shops,"Work shops  CW Manager Central Workshop  Ashokapur, am Mysore South",570008.0,Workshop Personnel Officer MYS,4.0
Ministry of Railways ( Railway Board),Chief Personnel Officer,WPOUB,Hubli Workshops,"CWM office Carriage Repair Workshop Gadag road Hub, balli",530020.0,Workshop Personnel Officer,4.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRBCT,WR Mumbai Central,"Divisional Railway Managers Office, Commercial Department  Mumbai Central, Mumbai",400008.0,Sr. DCM,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRADI,WR Ahmedabad,"Divisional Railway Managers Office Naroda Road  Ah, medabad",382345.0,Sr.DCM,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRBVP,WR Bhavnagar,"DRM Office  IInd Floor  Near Ramji Wadi  Bhavnagar,  Para  Bhavnagar.",364003.0,Sr.DCM BVP,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCCE,WR Signal & Tele,"ST Deptt. 5th floor Western Railway  Churchgate, Mumbai,  ",400020.0,Dy.CSTE HQ,3.0
Ministry of Railways ( Railway Board),Ministry of Railways ( Railway Board),WRCCG,WESTERN RAILWAY,"Public Grievance Cell , Office Of The General Manager Western Railway , Churchgate  MUMBAI",400020.0,Secretary PG,2.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCCM,WR Commercial,"Churchgate Station Bldg. 2nd floor  Churchgate , Mumbai,  ",400020.0,CCM CTG and PS,3.0
Ministry of Railways ( Railway Board),WR Commercial,WRCCO,PCCM Claims,"Claims Section, Commercial Department , HQ Office  Churchgate",400020.0,Dy.CCO,4.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRBRC,WR Vadodara,"Vadodara Division  , DRM Office  Pratapnagar,  ",390004.0,ACM PM,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCOM,WR Operating,"Churchgate Old Bldg. Ground floor  Churchgate  Mum, bai",400020.0,ATM Coaching,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCOS,WR Stores,"Stores Deptt. 4th floor  Western Railway  Churchga, te  Mumbai",400020.0,CMM  Adm.,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCPO,WR Personnel,Churchgate Old Bldg. 2nd floor  Churchgate  Mumbai,400020.0,CPO  G,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCSC,WR Security,"Security Deptt. Ground floor  Western Railway Chur, chgate  Mumbai",400020.0,DIG cum CSC RPF,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCSO,WR Safety,"Churchgate Old Bldg. 1st floor  Churchgate , Mumbai,  ",400020.0,Dy. CSO Traffic,3.0
Ministry of Railways ( Railway Board),WR Commercial,WRCTG,PCCM Catering,"Catering Section, Commercial Departmernt, HQ Office Churchgate",400020.0,Dy. CCM CTG,4.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCMD,WR Medical,"Churchgate Station Bldg. 1st floor  Churchgate  Ch, urchgate  Mumbai",400020.0,Addl.CMD IH,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCME,WR Mechanical,"Churchgate Old Bldg. 1st floor  Churchgate , Mumbai,  ",400020.0,Dy.CME Coaching,3.0
Ministry of Railways ( Railway Board),WESTERN RAILWAY,WRCEE,WR Electrical,"522  PCEE Office  5th floor  New Station Building ,  Churchgate  Mumbai",400020.0,SEE P CCG HQ,3.0
Ministry of Railways ( Railway Board),Northern Railway,USBRL,USBRL Project,"Office of CAO/C/USBRL , Satyam REsort Complex   Trikuta Nagar , Jammu",180012.0,Secretary to CAO USBRL Project,3.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBAC,ACCOUNTS BRANCH,"Divisional Railway Manager Office  Northern Railwa, y  Ambala Cantt.",133001.0,Sr.DFM,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBCM,COMMERCIAL BRANCH,"Division Railway Manager Office  Northern Railway ,  Ambala Cantt.  Punjab",,SR.DCM,4.0
Ministry of Railways ( Railway Board),Northen Railway Lucknow Division,UMBCO,COMMERCIAL BRANCH,"Division Railway Manager Office , Northern Railway  Hazratganj , Lucknow",226001.0,SR.DCM,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBEL,ELECTRICAL BRANCH,"Divisional Railway Manager Office , Northern Railway , Ambala Cantt.",133001.0,Sr.DEE G,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBEN,ENGINEERING BRANCH,"Divisional Railway Manager , Northern Railway , Ambala Cantt.",133001.0,SR.DEN C,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBMD,MEDICAL BRANCH,"Divisional Railway Manager Office , Northern Railway , Ambala Cantt.",133001.0,CMS,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBME,MECHANICAL BRANCH,"Divisional Railway Manager Office  Northern Railwa, y Ambala Cantt. Haryana",133001.0,SR. DME,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBOP,OPERATING BRANCH,"Divisional Railway Manager Office  Northern Railwa, y  Ambala Cantt.",,SR.DOM,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBPD,PERSONNEL BRANCH,"Divisional Railway Manager Office  Northern Railwa, y  Ambala Cantt.",,SR.DPO,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBRP,Railway Protection Force,"Divisional Railway Manager Office  Northern Railwa, y  Ambala Cantt.",,SR.DSC RPF,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBSM,Store,"Store Branch, DRM office. Ambala Cantt, AMBALA",133001.0,Sr.DMM,4.0
Ministry of Railways ( Railway Board),Northern Railway Ambala Division,UMBST,SIGNAL AND TELECOMMUNICATION BRANCH,"Divisional Railway Manager Office , Northern Railway , Ambala Cantt.",,SR.DSTE,4.0
Ministry of Railways ( Railway Board),SOUTH WESTERN RAILWAY,UBLDI,"Additional Divisional Railway Manager, Hubli.","DRM Office  South Western Railway, Hubballi,  ",580023.0,ADRM,3.0
Ministry of Railways ( Railway Board),CSC RPF SOUTH WESTERN RAILWAY,UBDSC,RAILWAY PROTECTION FORCE,"Office of the Divisional Security Commissioner/RPF, South Western Railway  Mysore Division, DRM Office Compound  Irwin Road  Mysore",570021.0,Divisional Sec Commissioner,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCCM,Commercial Branch,"Railway Divisional Office, Thycaudu , Thiruvananthapuram  KERALA",695014.0,Sr.DCM,4.0
Ministry of Railways ( Railway Board),Southern Railway,TVCDN,Trivandrum Division,"Railway Divisional Office  Southern Railway  Thyca, ud  Trivandrum",695014.0,Addl.Divnl.Rly Manager,3.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCEL,Electrical Branch,"Railway Divisional Office, Thycaudu , Thiruvananthapuram.",695014.0,Sr Divisional Electl Er G,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCEN,Engineering branch,"Railway Divisional Office,  ,  ",,Sr.DEN,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCMD,Medical branch,"Railway Divisional Office, Trivandrum Pettah,  ",695024.0,CMS,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCME,Mechanical Branch,"Divisional Raiway Managers Office Mechanical Branc, h Trivandrum",695014.0,Sr.DME,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCOP,Transportation Branch,"Railway Divisional Office OPERATING BRANCH DIVL.RL, Y MANAGERS OFFICE  TRIVANDRUM",695014.0,Sr.DOM,4.0
Ministry of Railways ( Railway Board),Personnel Branch,TVCPB,Personnel Branch Trivandrum Divn,"Personnel Branch Railway Divisional Office, Thycaud Trivandrum,  ",,Srdivisional Personnel Officer,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCPE,personnel Branch,"Railway Divisional Office, Divisional Personnel Officer, TVC division",695014.0,DPO,4.0
Ministry of Railways ( Railway Board),Railway Recruitment Board,TVCRB,Trivandruam Railway Recruitment board,"Railway Recruitment board/Trivanduram thampanoor T, rivanduram",695001.0,Chairman,3.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCRP,Security branch,"Railway Divisional Office DRM Office Complex Thyca, ud  Trivandrum",695014.0,DSC,4.0
Ministry of Railways ( Railway Board),Trivandrum Division,TVCST,Signal and tele Branch,Railway Divisional Office Trivandrum,695014.0,Sr.DSTE,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKEL,Electrical,"SrDEE Tinsukia,  ,  ",786125.0,SrDEE Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKEN,Engineering,"SrDEN-C-TSK,  ,  ",786125.0,Sr DEN C Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKSC,Security,"DSC TSK,  ,  ",,DSC Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKST,SrDSTE,"SrDSTE/TSK,  ,  ",,SrDSTE Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKMC,Mechanical,"SrDME Tinsukia,  ,  ",,SrDME Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKMD,ACMS DBRT,"NTSK Raiwlay Hospital, Hijuguri",786192.0,CMS_NTSK,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKOP,Operating,DOM/TSK N F RAILWAY TINSUKIA,786192.0,DOM-IC Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKPR,Personnel,Sr.DPO/TSK Tinsukia Division,786125.0,Sr.DPO TSK,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKCM,Commercial,"SrDCM Tinsukia, DRM office Tinsukia",786125.0,SrDCM Tinsukia,4.0
Ministry of Railways ( Railway Board),TINSUKIA DIVISION   N.F. RAILWAY,TSKAC,ACCOUNTS,"DFM/TSK,  ,  ",,DFM Tinsukia,4.0
Ministry of Railways ( Railway Board),Research Design and Standard Organisation,UTHSP,Urban Transport and High Speed Directorate,"Executive Director  UTHS, Manak Nagar , Lucknow",226011.0,ED UTHS,3.0
Ministry of Railways ( Railway Board),South East Central Railway,VIG02,Sr Dy General Manager,"Office of SDGM, 1st Floor  Old GM Building, S E C Railway Bilaspur",495004.0,Vigilance Officer A,3.0
Ministry of Railways ( Railway Board),Research Design and Standard Organisation,VIDUT,Electrical Directorate,"Executive Director/Electrical , RDSO  Manak Nagar , Lucknow",226011.0,ED Electrical,3.0
