OfficerDetail,OfficerDetail_torg,comment,date_of_action,delay,remarks
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti Kulashree Nath (Joint Secretary),,,2023-03-20T00:00:00.000+0000,41.0, 
Sri Lakshmi Nandan Baruah (Deputy Commissioner of Excise Assam),,,2023-07-11T00:00:00.000+0000,113.0, Please take necessary action and report.
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-03T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Pranab Kr. Das (Deputy Secy PHED Assam),,,2023-02-03T00:00:00.000+0000,0.0, 
Manas Pratim Borgohain (Superintending Engineer PHE),,,2023-02-04T00:00:00.000+0000,1.0, Please look into the matter
PRANAB DEKA (ASSISTANT EXECUTIVE ENGINEER PHE TC),,,2023-04-29T00:00:00.000+0000,84.0, Please take up the matter with the respective division and report accordingly.
PORI SONOWAL (Junior Engineer PHE),,,2023-05-11T00:00:00.000+0000,12.0, PLEASE DO THE NEEDFUL AND SUBMIT THE REPORT
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Kanta Lahkar (Deput Secretary.EsttB),,,2023-03-28T00:00:00.000+0000,49.0,Forwarded for further needful action.
Pranab Chaudhary (Under Secretary),,,2023-07-14T00:00:00.000+0000,108.0," DC, Nalbari has been requested to take necessary steps as per norms"
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,8.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Tupul Sharma (Assistant Statistical Officer),,,2023-04-13T00:00:00.000+0000,54.0," As per BDOs report the name of applicant husband Sri Dharmakanta Kalita is already exist in the permanent wail list of 2018, PMAY-G Aawas plus list."
Tupul Sharma (Assistant Statistical Officer),,,2023-04-18T00:00:00.000+0000,5.0, 
Bhanita Barman Deka (Assistant BDO),,,2023-05-26T00:00:00.000+0000,38.0," BDO is directed by the authority to take up the matter and if beneficiary is fit for the scheme, a PMAY-G house may be allotted as per guideline. "
Bhanita Barman Deka (Assistant BDO),,Reminder of sl 6,2023-06-16T00:00:00.000+0000,21.0, BDO has directed to clarify the complain from complainant 
Bhanita Barman Deka (Assistant BDO),,Reminder of sl 6,2023-06-16T00:00:00.000+0000,0.0, BDO has directed to clarify the complain from complainant
Bhanita Barman Deka (Assistant BDO),,Reminder of sl 7,2023-06-17T00:00:00.000+0000,1.0, The Case is Disposed Off
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Ramendra Kumar Das (Deputy Secretary),,,2023-02-10T00:00:00.000+0000,3.0, not pertaining to our organisation
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Kanta Lahkar (Deput Secretary.EsttB),,,2023-03-28T00:00:00.000+0000,49.0, The matter does not pertain to Finance Department. The petitioner may be requested to take up the matter with Forest Department.
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,9.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Gautam Bhatta (Assistant Executive Engineer),,,2023-02-20T00:00:00.000+0000,2.0, Concerned Block Development Officer have been informed to take necessary steps as per guideline of PMAY G to provide the benefits to the complainant. 
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Pranab Kr. Das (Deputy Secy PHED Assam),,,2023-02-06T00:00:00.000+0000,2.0, 
Manas Pratim Borgohain (Superintending Engineer PHE),,,2023-02-07T00:00:00.000+0000,1.0, Please look into the matter.
Swapan Kumar Roy (ADDL. CHIEF ENGINEER PHE),,,2023-03-01T00:00:00.000+0000,22.0, 
SUBHENDU KUMAR SAHA (AE PHE),,,2023-03-17T00:00:00.000+0000,16.0, Please look into the matter and take necessary action
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Kanta Lahkar (Deput Secretary.EsttB),,,2023-03-28T00:00:00.000+0000,52.0, Forwarded for your needful action please.
Pranab Chaudhary (Under Secretary),,,2023-05-20T00:00:00.000+0000,53.0," DC, Tamulpur has been requested to examine the matter and take necessary action as per norms"
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti Nivedita Laskar (Joint Secretary),,,2023-02-06T00:00:00.000+0000,2.0, 
SWAPAN KUMAR DAS (Addl CE Electrical),,,2023-02-10T00:00:00.000+0000,4.0, THE SE MANGALDAI CIRCLE IS REQUESTED TO LOOK INTO THE MATTER AND SUBMIT DETAIL REPORT WITH HIS VIEWS/COMMENTS AS EARLY AS POSSIBLE
DILIP DEKA (SUPERINTENDING ENGINEER IC),,,2023-04-11T00:00:00.000+0000,60.0,A report regarding the matter is submitted herewith.
SWAPAN KUMAR DAS (Addl CE Electrical),,,2023-04-12T00:00:00.000+0000,1.0, ATR AS RECEIVED FROM THE CONCERNED SE MANGALDAI CIRCLE HAS BEEN UPLOADED
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,12.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Ditimoni Pegu (Chief Executive Officer),,,2023-03-09T00:00:00.000+0000,19.0, 
Ditimoni Pegu (Chief Executive Officer),,,2023-05-12T00:00:00.000+0000,64.0," ID no not provided by the applicant, so it could not be tracked in Awaasoft."
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,12.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Biplob Deuri Baruah (Deputy CEO),,,2023-03-13T00:00:00.000+0000,23.0, He/She will get the benefit if the name is in the list.
Shri Mukut Sarma (Asstt. Commissioner),,,2023-03-16T00:00:00.000+0000,3.0, He/She will get the benefit if the name is in the list.
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Ramendra Kumar Das (Deputy Secretary),,,2023-02-10T00:00:00.000+0000,6.0, For necessary action with intimation to the petitioner and this Deptt. Further on completion closed the case from your end. 
SUMITA DEY (Deputy Manager),,,2023-02-14T00:00:00.000+0000,4.0,Matters related to gratuity is not under the purview of APDCL.
Shri Sarangapani Sarma. ACS (Joint Secretary),,,2023-06-14T00:00:00.000+0000,120.0, Matters related to gratuity is not under the purview of APDCL.and it falls under AEGCL
Rodali Khound (DEPUTY GENERAL MANAGER- PR),,,2023-06-23T00:00:00.000+0000,9.0," Sri Dhiren Saikia , who has requested for redressal of his gratuity related grievance on 
 CPGRAMS portal, is an ex employee of APDCL under NPS.
Hence, the matter is not under the purview of AEGCL.. 
As such, the matter may be forwarded to the concerned department , which is APDCL."
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Pranab Kr. Das (Deputy Secy PHED Assam),,,2023-02-06T00:00:00.000+0000,2.0, 
Manas Pratim Borgohain (Superintending Engineer PHE),,,2023-02-07T00:00:00.000+0000,1.0, Please look into the matter
PRANAB DEKA (ASSISTANT EXECUTIVE ENGINEER PHE TC),,,2023-04-29T00:00:00.000+0000,81.0, Please take up the matter with the respective division and report accordingly.
PORI SONOWAL (Junior Engineer PHE),,,2023-05-11T00:00:00.000+0000,12.0, PLEASE DO THE NEEDFUL AND SUBMIT THE REPORT ACCORDINGLY
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti. Panchami Choudhury (Deputy Secretary),,,2023-02-04T00:00:00.000+0000,0.0, The matter/issue/grievance raised by the petitioner does not pertain to this organization and therefore cannot be redressed by this office. This may kindly be raised with GDD
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0,Requested to examine the matter and take necessary action as appropriate from your end.
Kanta Lahkar (Deput Secretary.EsttB),,,2023-03-28T00:00:00.000+0000,52.0, Forwarded for your needful action please.
Pranab Chaudhary (Under Secretary),,,2023-05-17T00:00:00.000+0000,50.0,"DC, Nalbari has been requested to examine the matter and take necessary action as per norms"
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,12.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Biplob Deuri Baruah (Deputy CEO),,,2023-03-13T00:00:00.000+0000,23.0, He/She will get the benefit if the name is in the list.
Shri Mukut Sarma (Asstt. Commissioner),,,2023-03-16T00:00:00.000+0000,3.0, He/She will get the benefit if the name is in the list.
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Pranab Kr. Das (Deputy Secy PHED Assam),,,2023-02-06T00:00:00.000+0000,2.0, 
Manas Pratim Borgohain (Superintending Engineer PHE),,,2023-02-07T00:00:00.000+0000,1.0, Please look into the matter.
KARABI HAZARIKA (AEE PHE),,,2023-03-02T00:00:00.000+0000,23.0, Case forwarded to PGO Nagaon Circle for further necessary action .
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-04T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,12.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
Biplob Deuri Baruah (Deputy CEO),,,2023-03-13T00:00:00.000+0000,23.0, He/She will get the benefit if the name is in the list.
Shri Mukut Sarma (Asstt. Commissioner),,,2023-03-21T00:00:00.000+0000,8.0,she will get the benefit if his name is in the list
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-07T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Kanta Lahkar (Deput Secretary.EsttB),,,2023-03-28T00:00:00.000+0000,49.0, Forwarded for your needful action please.
Pranab Chaudhary (Under Secretary),,,2023-05-17T00:00:00.000+0000,50.0,"DC, Kamrup has been requested to examine the matter and take necessary action as per norms"
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-27T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti. Panchami Choudhury (Deputy Secretary),,,2023-03-03T00:00:00.000+0000,0.0, Forwarded for needful action to be disposed within 30 (thirty) days.
Mahendra Pegu (Asstt. Engineer),,,2023-03-04T00:00:00.000+0000,1.0, Please look into the matter and take necessary action.
Shri Shyam Sundar Mazumdar (Deputy Secretary),,,2023-04-10T00:00:00.000+0000,0.0, Forwarded for taking necessary action with an intimation action taken on the matter and upload on CPGRAMS Portal
Dipjyoti Chakraborty (Dy. Commissioner of Transport),,,2023-04-11T00:00:00.000+0000,1.0, Pl look into the matter and disposed it from your end with an intimation to this Commissionerate.
Angshuman Biswas (DTO),,,2023-04-25T00:00:00.000+0000,14.0,Earlier the matter was resolved
Smti. Panchami Choudhury (Deputy Secretary),,Reminder of sl 3,2023-04-26T00:00:00.000+0000,54.0, Kindly revert with a status on the action taken at an early date.
Angshuman Biswas (DTO),,,2023-04-28T00:00:00.000+0000,3.0,Matter already been resolved. 
Angshuman Biswas (DTO),,"Repeat of sl 9
 of (28-4-2023)",2023-04-28T00:00:00.000+0000,0.0, Matter already been resolved.
Angshuman Biswas (DTO),,,2023-04-28T00:00:00.000+0000,0.0, Matter already been resolved.
Dipjyoti Chakraborty (Dy. Commissioner of Transport),,,2023-04-28T00:00:00.000+0000,0.0,As reported by subordinate office- Matter already been resolved.
Shri Shyam Sundar Mazumdar (Joint Secretary),,,2023-04-29T00:00:00.000+0000,1.0, As reported by subordinate office- Matter already been resolved.
Mahendra Pegu (Asstt. Engineer),,Reminder of sl 4,2023-05-09T00:00:00.000+0000,13.0, Please take necessary action immediately.
Omkar Dutta (Assistant Executive Engineer),,,2023-05-09T00:00:00.000+0000,0.0," Matter related to District Administration, Cachar regarding Traffic Management System."
Mahendra Pegu (Asstt. Engineer),,,2023-05-09T00:00:00.000+0000,0.0," Matter related to District Administration, Cachar regarding Traffic Management System."
Smti. Panchami Choudhury (Deputy Secretary),,,2023-05-10T00:00:00.000+0000,1.0," Matter is related to District Administration, Cachar regarding Traffic Management."
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Shri Dipen Chandra Phukan (Under Secretary),,,2023-02-16T00:00:00.000+0000,8.0," Requested the CPRD, Assam to examine the Grievance raised by the Petitioner in terms of the existing PMAY-G Norms /Guidelines & take necessary action as appropriate."
Shri Mukut Sarma (Asstt. Commissioner),,,2023-02-18T00:00:00.000+0000,2.0, Please take necessary action and dispose off the grievance and update
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti. Panchami Choudhury (Deputy Secretary),,,2023-02-08T00:00:00.000+0000,0.0, Kindly revert with a status on the action taken at an early date.
Kumar Purkayastha (Assistant Engineer),,,2023-02-14T00:00:00.000+0000,6.0," The matter is perhaps related to Municipal Board and District Administration, not related to Directorate of Town and Country Planning"
Smti. Panchami Choudhury (Deputy Secretary),,,2023-02-14T00:00:00.000+0000,0.0,Forwarded for needful action to be disposed within 30 (thirty) days.
Mahendra Pegu (Asstt. Engineer),,,2023-02-17T00:00:00.000+0000,3.0, Please look into the matter and take necessary action at the earliest.
Smti. Panchami Choudhury (Deputy Secretary),,Reminder of sl 5,2023-04-26T00:00:00.000+0000,71.0, Kindly revert with a status on the action taken at an early date.
Mahendra Pegu (Asstt. Engineer),,Reminder of sl 6,2023-05-09T00:00:00.000+0000,13.0, Please take necessary action immediately.
Omkar Dutta (Assistant Executive Engineer),,,2023-05-09T00:00:00.000+0000,0.0," Matter is related to District Administration, Cachar regarding Traffic Management."
Mahendra Pegu (Asstt. Engineer),,,2023-05-09T00:00:00.000+0000,0.0," Matter is related to District Administration, Cachar regarding Traffic Management."
Smti. Panchami Choudhury (Deputy Secretary),,,2023-05-10T00:00:00.000+0000,1.0," Matter is related to District Administration, Cachar regarding Traffic Management."
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Smti. Panchami Choudhury (Deputy Secretary),,,2023-02-08T00:00:00.000+0000,0.0, Kindly revert with a status on the action taken at an early date.
Mahendra Pegu (Asstt. Engineer),,,2023-02-09T00:00:00.000+0000,1.0, Please look into the matter and take necessary action at the earliest.
Smti. Panchami Choudhury (Deputy Secretary),,Reminder of sl 3,2023-04-26T00:00:00.000+0000,77.0, Kindly revert with a status on the action taken at an early date.
Mahendra Pegu (Asstt. Engineer),,Reminder of sl 4,2023-05-09T00:00:00.000+0000,13.0, Please take necessary action immediately.
Raja Baishya (Executive Officer),,,2023-05-12T00:00:00.000+0000,3.0," The case is fully resolved on the verbal consent from both the parties. It has been brought to our notice that Ranjit Modi has repaired & replaced of what has been damaged or lost. As the construction work is over, dusting and noise problem will not arise. "
,,,2023-01-27T00:00:00.000+0000,,
Shri Sidheswar Das (Dy. Secretary and Grievance Redressal Officer - CM Secretariat),,,2023-02-08T00:00:00.000+0000,0.0, Requested to examine the matter and take necessary action as appropriate from your end.
Sri Mridul Sonowal (Under Secretary),,,2023-02-14T00:00:00.000+0000,6.0,"The Chief Engineer, Water Resources Department is requested to kindly examine the matter and to take action as appropriate from his end.

"
Shri Prabhat Ch. Rabha (Executive Engineer Hydrology Division),,,2023-02-14T00:00:00.000+0000,0.0, 
Shri Prabhat Ch. Rabha (Executive Engineer Hydrology Division),,Reminder of sl 4,2023-04-28T00:00:00.000+0000,73.0, Kindly dispose within 15 days.
,,,2023-01-27T00:00:00.000+0000,,
A. K. Keshava (Regional Commissioner I SG),,,2023-01-28T00:00:00.000+0000,0.0, 
Jayant Chowdhury (Regional Commissioner - II),,,2023-03-14T00:00:00.000+0000,0.0," On receipt of Ledger Card bearing CMPF A/c No. SING/4/1662 PF and Pension claim settled in the month of February,2023. Complainant has been informed accordingly to his mobile no. provided in the grievance."
A. K. Keshava (Regional Commissioner I SG),,,2023-03-21T00:00:00.000+0000,7.0," RO Nagpur reported as under

On receipt of Ledger Card bearing CMPF A/c No. SING/4/1662 PF and Pension claim settled in the month of February,2023. Complainant has been informed accordingly to his mobile no. provided in the grievance.
"
,,,2023-01-27T00:00:00.000+0000,,
A. K. Keshava (Regional Commissioner I SG),,,2023-01-28T00:00:00.000+0000,0.0, 
S K SINHA (Additional Commissioener),,,2023-02-07T00:00:00.000+0000,10.0," In reply to grievance, a requisition letter for ledger card transfer from R.O. R-II, Dhanbad has been sent. Copy of letter enclosed herewith for your ready reference. "
,,,2023-01-27T00:00:00.000+0000,,
A. K. Keshava (Regional Commissioner I SG),,,2023-01-28T00:00:00.000+0000,0.0, 
R.K. SINHA (Assistant Commissioner),,,2023-02-10T00:00:00.000+0000,13.0,"इस संबंध में कहना है कि सदस्य श्री बृज किशोर ठाकुर, खाता सं0 एनजीपी/3/75 का खाता पत्रक के अनुसार अंकित अंशदान का पीएफ प्रकरण का निष्पादन माह जनवरी 2023 में किया जा चुका है। पीएफ राशि का भुगतान किया जा चुका है। बकाया पीएफ/पेंशन राशि हेतु सीएमपीडीआई क्षेत्रीय कार्यालय राॅंची को इस कार्यालय के पत्र क्र. 3999 दिनांक 02/02/2023 के माध्यम से वर्ष 03/2006 से 03/2010 का एक्सट्रेक्ट मांगा गया है।"
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90377 
,,,2023-03-10T00:00:00.000+0000,,
"Online PGRO, Online PGRO",,,2023-03-10T00:00:00.000+0000,,Grievance received by Subordinate Organisation from Web API
"PGRO, PGRO",,,2023-05-29T00:00:00.000+0000,,"परिवादी-अख़लाक़, पिता/पति-, ग्राम-खोरीपाकड, पोस्ट-टाकिया चौक, थाना-, अंचल-हरसिद्धि, जिला-पूर्वी चम्पारण द्वारा परिवाद दर्ज कराया गया है |

 अभिलेख उपस्थापित | प्राप्त परिवाद का अवलोकन किया गया | परिवादी उपस्थित | परिवादी द्वारा भूमि विवाद के सम्बन्ध में लाभ/राहत का दावा किया गया है |

 उक्त परिवाद के सम्बन्ध में लोक प्राधिकार सह अंचलाधिकारी, हरसिद्धि ने अपने पत्रांक-444, दिनांक-08 अप्रैल 23 द्वारा प्रतिवेदित किया है कि परिवादी श्री अखलाख पिता महफुज आलम ग्राम खोडीपाकड के परिवाद की जांच हल्का कर्मचारी से कराई गई, हल्का कर्मचारी द्वारा जांच प्रतिवेदन में प्रतिवेदित किया गया है कि आवेदक के पिता महफुज आलम के द्वारा बताया गया कि मेरे लड़का द्वारा कोई आवेदन नही दिया गया है, आवेदन में अंकित खेसरा सं0 206 केा रैयती भूमि बतलाया गया है इस भूमि में अन्य हिस्सेदार द्वारा खरीद विक्री की बात कही गई है, जो सक्षम न्यायालय का मामला बनता है। 



परिवादी को सलाह दी जाती है कि मामले के निस्तारण हेतु व्यवहार न्यायालय में वाद दाखिल कर सकते है | अत: वाद की कार्रवाई समाप्त की जाती है | अधिनियम एवं नियमावली के प्रावधानों के अधीन इस विनिश्चय की प्रति प्रपत्र 3 के साथ परिवादी को भी इस आशय के साथ भेजी जाए कि यदि वे इस विनिश्चय से व्यथित हो तो विनिश्चय कि तिथि से 30 दिवसों के भीतर प्रथम अपीलीय प्राधिकार सह अपर समाहर्ता, लोक शिकायत निवारण पदाधिकारी, पूर्वी चम्पारण,मोतिहारी के समक्ष अपील दायर कर सकते है|"
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90379 
,,,2023-03-10T00:00:00.000+0000,,
S M I TANVIR (DDG C-II),,,2023-03-10T00:00:00.000+0000,, Duplicate of PRSEC/E/2022/35178
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90380 
,,,2023-03-10T00:00:00.000+0000,,
"Aarti Balodi, Nodal Officer",,,2023-03-10T00:00:00.000+0000,,Grievance received by Subordinate Organisation from Web API
"डॉ मनमोहन सिंह चौहान, कुलपति",,,2023-03-21T00:00:00.000+0000,,विश्वविद्यालय उपलब्ध साक्ष्यों के आधार पर ही कार्यवाही कर सकता है| प्रौद्योगिक महाविद्यालय एवं निदेशक प्रशासन एवं अनुश्रवण कार्यालय गोविंद बल्लभ पंत कृषि एवं प्रौद्योगिकी विश्वविद्यालय पंतनगर की आख्या के आधार पर यह प्रतीत होता है कि इस शिकायत के संदर्भ में विश्वविद्यालय द्वारा उपलब्ध साक्ष्यों के आधार पर छात्रा कुमारी शशि गुप्ता के विरुद्ध विश्वविद्यालय स्तर से कोई भी कार्यवाही प्रतीत नहीं होती है| उपलब्ध साक्ष्यों के आधार पर विश्वविद्यालय छात्रा कुमारी शशि गुप्ता द्वारा अपना डिग्री प्रोग्राम सभी विश्वविद्यालय नियमों के अंतर्गत पूर्ण किया गया है|
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90381 
,,,2023-03-10T00:00:00.000+0000,,
Gadadhar Nayak (Under Secretary to Government),,,2023-04-20T00:00:00.000+0000,, 
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90386 
,,,2023-03-10T00:00:00.000+0000,,
OSD BO 05 (OSD),,,2023-03-17T00:00:00.000+0000,, Subject matter does not pertain to this department. It may be taken up with the concerned deptt
,,,2023-02-10T00:00:00.000+0000,0.0,DPG/Z/2023/90387 
,,,2023-03-13T00:00:00.000+0000,,
Govind Mainkar (U S Retired),,,2023-03-14T00:00:00.000+0000,, 
Vikas Chandra Rastogi (Principle Secretary),,,2023-03-17T00:00:00.000+0000,, 
,,,2023-04-04T00:00:00.000+0000,,"Please watch the video on the following twitter link. I&#39;m not the only one these derelicts have maligned.

twitter.com/AIRSAIndia/status/1639953332771995649?t=w0se-09JxPbcMk03IY-WYA&amp;s=19"
,,,2023-04-21T00:00:00.000+0000,,No response from the concerned officer.
,,,2023-04-22T00:00:00.000+0000,,"Kindly read the following newspaper article about these gundas:

punemirror.com/pune/civic/iiser-professor-quits-over-tree-felling-on-the-campus/cid5127634.htm"
,,,2023-04-22T00:00:00.000+0000,,"Please read the following news article about these gundas:

punemirror.com/pune/civic/iiser-professor-quits-over-tree-felling-on-the-campus/cid5127634.htm"
Mr. S.J Tidke (Deputy Secretary),,,2023-04-25T00:00:00.000+0000,, 
